name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
tensorflow,tensorflow,C++,197622,76124,197622,2927,2015-11-07,2026-08-25,Apache License 2.0
transformers,huggingface,Python,164426,34358,164426,2396,2018-10-29,2026-08-25,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89785,22075,89785,13,2021-03-03,2026-08-25,MIT License
funNLP,fighting41love,Python,82662,15275,82662,52,2018-08-21,2026-08-25,None
awesome-machine-learning,josephmisiti,Python,74149,15620,74149,27,2014-07-15,2026-08-25,Other
scikit-learn,scikit-learn,Python,67060,27310,67060,2122,2010-08-17,2026-08-25,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43416,3581,43416,168,2018-12-19,2026-08-25,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36528,7467,36528,68,2021-01-02,2026-08-25,None
C-Plus-Plus,TheAlgorithms,C++,34603,7853,34603,28,2016-07-16,2026-08-25,MIT License
netron,lutzroeder,JavaScript,33399,3178,33399,19,2010-12-26,2026-08-25,MIT License
ML-From-Scratch,eriklindernoren,Python,32522,5432,32522,77,2017-02-05,2026-08-25,MIT License
applied-ml,eugeneyan,Unknown,30081,3991,30081,8,2020-07-04,2026-08-25,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28867,6147,28867,32,2016-10-09,2026-08-25,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28808,12902,28808,21,2019-07-13,2026-08-25,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27999,3534,27999,26,2023-09-06,2026-08-25,Other
shap,shap,Jupyter Notebook,25701,3746,25701,1009,2016-11-22,2026-08-25,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24777,4193,24777,30,2018-11-01,2026-08-25,MIT License
Paddle,PaddlePaddle,C++,24062,6016,24062,1497,2016-08-15,2026-08-25,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23728,3146,23728,54,2020-11-29,2026-08-25,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22343,4771,22343,19,2016-07-16,2026-08-25,GNU General Public License v3.0
onnx,onnx,Python,21355,4011,21355,286,2017-09-07,2026-08-25,Apache License 2.0
rasa,RasaHQ,Python,21304,4919,21304,154,2016-10-14,2026-08-24,Apache License 2.0
video2x,k4yt3x,C++,21063,1827,21063,131,2018-02-24,2026-08-25,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20867,2591,20867,31,2018-08-15,2026-08-25,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20635,5562,20635,7,2018-05-09,2026-08-25,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20157,4253,20157,20,2018-08-04,2026-08-25,MIT License
ml-agents,Unity-Technologies,C#,19644,4484,19644,20,2017-09-08,2026-08-25,Other
LightGBM,lightgbm-org,C++,18710,4055,18710,513,2016-08-05,2026-08-24,MIT License
ml-engineering,stas00,Python,18703,1206,18703,4,2020-09-02,2026-08-25,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18141,3969,18141,47,2015-09-12,2026-08-25,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17799,4627,17799,36,2019-07-05,2026-08-25,None
brpc,apache,C++,17593,4139,17593,463,2017-09-04,2026-08-25,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17385,2125,17385,21,2021-06-25,2026-08-24,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16331,3742,16331,47,2019-04-06,2026-08-23,GNU General Public License v3.0
transformers.js,huggingface,JavaScript,16265,1184,16265,272,2023-02-13,2026-08-25,Apache License 2.0
mml-book.github.io,mml-book,Jupyter Notebook,15920,2854,15920,197,2017-12-08,2026-08-24,None
